Step, Strands, <Q>, piYX, trouton_1, trouton_2
107, 1048, 0.190863, -0.008651, 3.978616, 0.002490
108, 1048, 0.191714, -0.007039, 4.079906, -0.003829
109, 1053, 0.191721, -0.009345, 4.127844, -0.014313
110, 1054, 0.192029, -0.008551, 4.180457, -0.012755
111, 1049, 0.192926, -0.007269, 4.247174, -0.006254
112, 1044, 0.193600, -0.007433, 4.307494, -0.009608
113, 1043, 0.194286, -0.007798, 4.383621, -0.009693
114, 1044, 0.194628, -0.003170, 4.463410, -0.005169
115, 1038, 0.194464, -0.006685, 4.471562, -0.003463
116, 1032, 0.194726, -0.006837, 4.510221, 0.000900
117, 1031, 0.194962, 0.003816, 4.555478, -0.004034
118, 1029, 0.196383, 0.003249, 4.626698, -0.005111
119, 1031, 0.197416, 0.007007, 4.726095, 0.000366
120, 1027, 0.198006, 0.006158, 4.795055, 0.006930
121, 1022, 0.198175, 0.003338, 4.826434, 0.009704
122, 1024, 0.199121, -0.000891, 4.891770, 0.006850
123, 1023, 0.200424, 0.003453, 4.989911, 0.004736
124, 1023, 0.199898, 0.002825, 4.952089, 0.005944
125, 1017, 0.200841, 0.007109, 5.053933, 0.007094
126, 1012, 0.201359, 0.012619, 5.103299, -0.004782
127, 1004, 0.201823, 0.011825, 5.132119, -0.003379
128, 1005, 0.202126, 0.012014, 5.204411, -0.005093
129, 1006, 0.202353, 0.014000, 5.269003, -0.015696
130, 1010, 0.202252, 0.024436, 5.337553, -0.027303
131, 1009, 0.202405, 0.022363, 5.311451, -0.029762
132, 1011, 0.202470, 0.021982, 5.381345, -0.031899
133, 1010, 0.203524, 0.015585, 5.434925, -0.003279
134, 1014, 0.202231, 0.012779, 5.330746, -0.003578
135, 1010, 0.202173, 0.009621, 5.286321, -0.005431
136, 1014, 0.201804, 0.010047, 5.244973, 0.005719
137, 1009, 0.201426, 0.007253, 5.148905, 0.005730
138, 1013, 0.201821, 0.003806, 5.223678, 0.006291
139, 1015, 0.201280, 0.002082, 5.147482, 0.004870
140, 1016, 0.201185, 0.004007, 5.166620, 0.012926
141, 1018, 0.200815, 0.002749, 5.042083, 0.012357
142, 1024, 0.200475, 0.002436, 5.063116, 0.011913
143, 1029, 0.200654, 0.004837, 5.107732, 0.006161
144, 1024, 0.201009, 0.005066, 5.175707, 0.009165
145, 1023, 0.201571, 0.009067, 5.251372, 0.002812
146, 1021, 0.202946, 0.015468, 5.341705, 0.002498
147, 1012, 0.202798, 0.014501, 5.314274, 0.005209
148, 1017, 0.203162, 0.018286, 5.373632, 0.008723
149, 1018, 0.203369, 0.017535, 5.426044, 0.016139
150, 1013, 0.203790, 0.015812, 5.453173, 0.013547
151, 1016, 0.203455, 0.005478, 5.498234, -0.003165
152, 1021, 0.203919, 0.004317, 5.591390, -0.010894
153, 1021, 0.203547, 0.000142, 5.502102, -0.018050
154, 1020, 0.203956, 0.001098, 5.575475, -0.015913
155, 1018, 0.204316, -0.002016, 5.630011, -0.010692
156, 1023, 0.204155, -0.006355, 5.698662, -0.007214
157, 1029, 0.204132, -0.003148, 5.790812, -0.015700
158, 1025, 0.204535, 0.000561, 5.800211, -0.008288
159, 1023, 0.204842, -0.000966, 5.877724, -0.007406
160, 1022, 0.205911, -0.006270, 5.995281, -0.007075
161, 1019, 0.205969, -0.000313, 6.000693, -0.006076
162, 1015, 0.205894, 0.003530, 6.017663, -0.006781
163, 1007, 0.205058, 0.001639, 5.859004, -0.000408
164, 1011, 0.205149, 0.000630, 5.918172, 0.007816
165, 1008, 0.205856, 0.000599, 6.011128, 0.009386
166, 1004, 0.205222, -0.002026, 6.020734, 0.025276
167, 1013, 0.205080, -0.001431, 6.074750, 0.045097
168, 1011, 0.205960, 0.000992, 6.191879, 0.029143
169, 1011, 0.205910, 0.004985, 6.236901, 0.033705
170, 1007, 0.206669, 0.001943, 6.351182, 0.031627
171, 1002, 0.206997, 0.007997, 6.353761, 0.025149
172, 1001, 0.206112, 0.020198, 6.253746, 0.027630
173, 999, 0.206912, 0.022103, 6.322867, 0.017741
174, 1005, 0.206931, 0.021415, 6.423147, 0.029483
175, 1005, 0.207412, 0.020806, 6.545808, 0.030656
176, 1004, 0.206708, 0.024519, 6.426031, 0.025290
177, 1005, 0.207444, 0.025762, 6.509911, 0.013229
178, 999, 0.207277, 0.026033, 6.473211, 0.002721
179, 1000, 0.207424, 0.023699, 6.515103, 0.003971
180, 992, 0.208385, 0.023108, 6.594318, 0.016762
181, 997, 0.209237, 0.025850, 6.724619, 0.003319
182, 1001, 0.209946, 0.031217, 6.862283, 0.010758
183, 1001, 0.210639, 0.035313, 6.942011, 0.017187
184, 1000, 0.210955, 0.035302, 6.957454, 0.025856
185, 1002, 0.211754, 0.032517, 7.076149, 0.027172
186, 993, 0.210898, 0.032646, 6.946710, 0.027663
187, 996, 0.209117, 0.023809, 6.512713, 0.035962
188, 998, 0.208425, 0.019794, 6.508763, 0.035490
189, 992, 0.209080, 0.013640, 6.541394, 0.047178
190, 993, 0.209904, 0.019024, 6.661190, 0.051582
191, 992, 0.210449, 0.024455, 6.705006, 0.038765
192, 994, 0.209961, 0.026544, 6.690922, 0.033498
