Step, Strands, <Q>, piYX, trouton_1, trouton_2
472, 923, 0.216788, -0.012408, 8.003400, -0.001980
473, 927, 0.216304, -0.014625, 7.884221, -0.001639
474, 923, 0.215454, -0.014706, 7.785985, -0.000483
475, 929, 0.215579, -0.004473, 7.909662, 0.001328
476, 936, 0.214837, -0.011117, 7.652407, 0.012645
477, 932, 0.215455, -0.009970, 7.738064, 0.001126
478, 935, 0.214831, -0.003483, 7.611791, 0.009979
479, 934, 0.215308, -0.002634, 7.640918, 0.007989
480, 925, 0.214557, 0.006430, 7.465707, 0.021674
481, 927, 0.214936, 0.003276, 7.569683, 0.013959
482, 931, 0.215207, 0.005097, 7.702227, 0.005629
483, 930, 0.216080, 0.002495, 7.844817, -0.006155
484, 928, 0.216805, 0.009205, 7.884379, -0.020603
485, 924, 0.216732, 0.007773, 7.844122, -0.015060
486, 925, 0.217052, 0.001808, 7.849686, -0.012605
487, 929, 0.217833, -0.005569, 8.011061, -0.015683
488, 932, 0.218277, -0.007654, 8.061715, -0.027176
489, 928, 0.218728, -0.009677, 8.156559, -0.031856
490, 931, 0.219313, -0.007615, 8.337616, -0.029430
491, 938, 0.218759, -0.009222, 8.387436, -0.043270
492, 934, 0.219178, -0.011303, 8.176477, -0.057120
493, 934, 0.218963, -0.004576, 8.196861, -0.054273
494, 932, 0.219389, -0.000115, 8.291821, -0.045795
495, 927, 0.220035, -0.005357, 8.401549, -0.042379
496, 925, 0.220962, -0.004326, 8.571137, -0.041912
497, 922, 0.220501, -0.004877, 8.543551, -0.044306
498, 921, 0.219229, -0.005323, 8.057769, -0.049771
499, 927, 0.219775, -0.005405, 8.194260, -0.047904
