Time, Strands, <Q>, piYX, trouton_1, trouton_2
0.001, 99, 0.07801399379968643, 0.1599327027797699, 0.022436000406742096, 0.0023504237178713083
0.002, 99, 0.0772482380270958, 0.16004720330238342, 0.02563692256808281, 0.0023285220377147198
0.003, 99, 0.07649024575948715, 0.16017426550388336, 0.028873838484287262, 0.0023068601731210947
0.004, 99, 0.07573992758989334, 0.1603139489889145, 0.03214774280786514, 0.0022854360286146402
0.005, 99, 0.07499721646308899, 0.16046635806560516, 0.03545965254306793, 0.0022642475087195635
0.006, 99, 0.07426203042268753, 0.16063156723976135, 0.038810599595308304, 0.0022432925179600716
0.007, 99, 0.07353430241346359, 0.16080965101718903, 0.042201634496450424, 0.0022225691936910152
0.008, 99, 0.07281395047903061, 0.16100068390369415, 0.04563382640480995, 0.0022020749747753143
0.009, 99, 0.0721009150147438, 0.1612047702074051, 0.04910825937986374, 0.0021818082313984632
